------------------------------------------------------------
Initial data. Total amount of items: 250
------------------------------------------------------------
ID        Name                Sunny Days     Avg Temp       
------------------------------------------------------------
1         City_1              250            18             
2         City_2              250            18             
3         City_3              250            19             
4         City_4              250            20             
5         City_5              250            18             
6         City_6              250            18             
7         City_7              250            18             
8         City_8              250            19             
9         City_9              250            20             
10        City_10             250            18             
11        City_11             250            18             
12        City_12             250            18             
13        City_13             250            19             
14        City_14             250            20             
15        City_15             250            18             
16        City_16             250            18             
17        City_17             250            18             
18        City_18             250            19             
19        City_19             250            20             
20        City_20             250            18             
21        City_21             250            18             
22        City_22             250            18             
23        City_23             250            19             
24        City_24             250            20             
25        City_25             250            18             
26        City_26             250            18             
27        City_27             250            18             
28        City_28             250            19             
29        City_29             250            20             
30        City_30             250            18             
31        City_31             250            18             
32        City_32             250            18             
33        City_33             250            19             
34        City_34             250            20             
35        City_35             250            18             
36        City_36             250            18             
37        City_37             250            18             
38        City_38             250            19             
39        City_39             250            20             
40        City_40             250            18             
41        City_41             250            18             
42        City_42             250            18             
43        City_43             250            19             
44        City_44             250            20             
45        City_45             250            18             
46        City_46             250            18             
47        City_47             250            18             
48        City_48             250            19             
49        City_49             250            20             
50        City_50             250            18             
51        City_51             250            18             
52        City_52             250            18             
53        City_53             250            19             
54        City_54             250            20             
55        City_55             250            18             
56        City_56             250            18             
57        City_57             250            18             
58        City_58             250            19             
59        City_59             250            20             
60        City_60             250            18             
61        City_61             250            18             
62        City_62             250            18             
63        City_63             250            19             
64        City_64             250            20             
65        City_65             250            18             
66        City_66             250            18             
67        City_67             250            18             
68        City_68             250            19             
69        City_69             250            20             
70        City_70             250            18             
71        City_71             250            18             
72        City_72             250            18             
73        City_73             250            19             
74        City_74             250            20             
75        City_75             250            18             
76        City_76             250            18             
77        City_77             250            18             
78        City_78             250            19             
79        City_79             250            20             
80        City_80             250            18             
81        City_81             250            18             
82        City_82             250            18             
83        City_83             250            19             
84        City_84             250            20             
85        City_85             250            18             
86        City_86             250            18             
87        City_87             250            18             
88        City_88             250            19             
89        City_89             250            20             
90        City_90             250            18             
91        City_91             250            18             
92        City_92             250            18             
93        City_93             250            19             
94        City_94             250            20             
95        City_95             250            18             
